ITEM,ZONA,DESCRIÇÃO DO DOCUMENTO,DT-INICIO,DT-FIM,GUARDA,UNID. TEMPO,DESTINAÇÃO,QUANTIDADE,CONSERVAÇÃO,DESCRICAO,DT_PROC,EVENTO
1,3,Cadernos de Votação - Sena Madureira - Manoel Urbano e Santa Rosa do Purus,,2010,8,ano,Eliminação,3 Caixas,Satisfatório,Outro,30/05/2022,499113
2,3,Cadernos de Votação,,2012,8,ano,Eliminação,2 Caixas,Satisfatório,Outro,30/05/2022,499113
3,3,Cadernos de Votação,,2014,8,ano,Eliminação,1 Caixa Bambox,Satisfatório,Outro,30/05/2022,499113
4,3,Guias de Multa com ASE registrado,2013,2015,5,ano,Eliminação,3 Caixas Bambox,Satisfatório,Outro,30/05/2022,499113
5,3,Requerimentos de Alistamento Eleitoral (RAE),,2013,5,ano,Eliminação,4 Caixas Bambox,Satisfatório,Outro,30/05/2022,499113
6,3,Requerimentos de Alistamento Eleitoral (RAE),,2014,5,ano,Eliminação,6 Caixas Bambox,Satisfatório,HISTÓRICO- Outro,30/05/2022,499113
7,3,Requerimentos de Alistamento Eleitoral (RAE),,2015,5,ano,Eliminação,11 Caixas Bambox,Satisfatório,Outro,30/05/2022,499113
8,3,Relação de Filiados,,2008,2,ano,Eliminação,3 Caixas Bambox,Satisfatório,Outro,30/05/2022,499113
9,3,Relação de Filiados,,2010,2,ano,Eliminação,10 Processos,Satisfatório,Outro,30/05/2022,499113
10,3,Atas das Mesas Receptora de Votos,,2010,5,ano,Eliminação,98 Atas - (Caixa: Referência01),Satisfatório,Outro,30/05/2022,499113
11,3,Vistoria em locais de votação,2013,2014,5,ano,Eliminação,2 Caixa Bambox- (Caixa: Referência 01 e 156),Satisfatório,Outro,30/05/2022,499113
12,3,Protocolo de Entrega de Título,,2011,5,ano,Eliminação,16 unidades - (Caixa: Referência 01),Satisfatório,Outro,30/05/2022,499113
13,3,Documentos pertinentes a comissão de transporte,,2014,5,ano,Eliminação,1 Caixa Bambox - (Caixa: Referência 157),Satisfatório,Outro,30/05/2022,499113
