;Item;Patrimônio;Sit. Física;Valor de Aquisição;Valor Bruto Atual;Descrição
;1;00000010;INSERVÍVEL;110;11;"MESA PARA MAQUINA DE ESCREVER EM MADEIRA - DESCRICAO: CLARA COM 02 GAVETAS
"
;2;00000028;INSERVÍVEL;134,4;13,44;"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: CLARA COM 03 GAVETAS - MARCA: BORTOLINI
"
;3;00000093;INSERVÍVEL;145;14,5;"ARQUIVO EM ACO - DESCRICAO: COR CINZA COM 04 GAVETAS - MARCA: PANDIN
"
;4;00000128;INSERVÍVEL;156,09;15,61;"ARQUIVO EM ACO - DESCRICAO: COR CINZA COM 04 GAVETAS - MARCA: PANDIN
"
;5;00000179;INSERVÍVEL;89;8,9;"POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA - MARCA: CADERODE
"
;6;00000181;INSERVÍVEL;89;8,9;"POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA - MARCA: CADERODE
"
;7;00000182;INSERVÍVEL;89;8,9;"POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA - MARCA: CADERODE
"
;8;00000199;INSERVÍVEL;110;11;"POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA - MARCA: CADERODE
"
;9;00000200;INSERVÍVEL;110;11;"POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA - MARCA: CADERODE
"
;10;00000202;INSERVÍVEL;110;11;"POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA - MARCA: CADERODE
"
;11;00000219;INSERVÍVEL;89;8,9;"POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA - MARCA: CADERODE
"
;12;00000220;INSERVÍVEL;89;8,9;"POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA - MARCA: CADERODE
"
;13;00000221;INSERVÍVEL;89;8,9;"POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA - MARCA: CADERODE
"
;14;00000222;INSERVÍVEL;89;8,9;"POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA - MARCA: CADERODE
"
;15;00000225;INSERVÍVEL;110;11;"POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA - MARCA: CADERODE
"
;16;00000465;INSERVÍVEL;83;8,3;"FURADEIRA ELETRICA PORTATIL - MARCA: BOSCH - MODELO: SUPER HOBBY - SERIE: 87101788
"
;17;00000616;INSERVÍVEL;215;21,5;"MESA PARA MICROCOMPUTADOR - DESCRICAO: COM ACABAMENTO EM LAMINADO MELAMINICO
"
;18;00000772;INSERVÍVEL;200;20;"ESTANTE EM MADEIRA - DESCRICAO: CLARA COM 03 PRATELEIRAS E 02 PORTAS
"
;19;00000852;INSERVÍVEL;430;43;"BALANCA DE PLATAFORMA - MARCA: BALMAK - MODELO: 104 - SERIE: 4326
"
;20;00001030;INSERVÍVEL;341;34,1;"TELEVISOR EM CORES - DESCRICAO: 14 POLEGADAS - MARCA: SANYO - MODELO: CTP-3791 P - SERIE: 9806263883T031
"
;21;00001053;INSERVÍVEL;100;10;"MESA DE CENTRO - DESCRICAO: CLARA COM 03 PRATELEIRAS
"
;22;00001074;INSERVÍVEL;341;34,1;"TELEVISOR EM CORES - DESCRICAO: 14 POLEGADAS - MARCA: SANYO - MODELO: CTP-3791P - SERIE: 9806266839T031
"
;23;00001230;INSERVÍVEL;93;9,3;"GAVETEIRO VOLANTE EM MADEIRA - DESCRICAO: COM ACABAMENTO EM LAMINADO MELAMINICO COM 05 GAVETAS
"
;24;00001411;INSERVÍVEL;141;14,1;"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: CLARA COM 03 GAVETAS
"
;25;00001895;INSERVÍVEL;234;23,4;"TELA PARA PROJECAO - MARCA: REFLECTA
"
;26;00002063;INSERVÍVEL;247;24,7;"BEBEDOURO DE AGUA TIPO GARRAFAO - DESCRICAO: COR BEGE COM 02 TORNEIRAS - MARCA: ESMALTEC - MODELO: GELAGUA - SERIE: 445654
"
;27;00002082;INSERVÍVEL;83,2;8,32;"MESA PARA MAQUINA DE ESCREVER EM MADEIRA - DESCRICAO: CLARA COM 02 GAVETAS
"
;28;00002110;INSERVÍVEL;380;38;"FICHARIO EM ACO - DESCRICAO: COR CINZA COM 08 GAVETAS - MARCA: WB
"
;29;00002111;INSERVÍVEL;380;38;"FICHARIO EM ACO - DESCRICAO: COR CINZA COM 08 GAVETAS - MARCA: WB
"
;30;00002112;INSERVÍVEL;380;38;"FICHARIO EM ACO - DESCRICAO: COR CINZA COM 08 GAVETAS - MARCA: WB
"
