;Item;Patrimônio;Sit Física;Valor de Aquisição;Valor Bruto Atual;Descrição;Caracteristicas;;
;1;10;INSERVÍVEL;110;11;MESA PARA MAQUINA DE ESCREVER EM MADEIRA;CLARA COM 02 GAVETAS;;
;2;28;INSERVÍVEL;134,4;13,44;MESA PARA ESCRITORIO EM MADEIRA;CLARA COM 03 GAVETAS;BORTOLINI;
;3;93;INSERVÍVEL;145;14,5;ARQUIVO EM ACO;COR CINZA COM 04 GAVETAS;PANDIN;
;4;128;INSERVÍVEL;156,09;15,61;ARQUIVO EM ACO;COR CINZA COM 04 GAVETAS;PANDIN;
;5;179;INSERVÍVEL;89;8,9;POLTRONA FIXA EM TECIDO;COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;CADERODE;
;6;181;INSERVÍVEL;89;8,9;POLTRONA FIXA EM TECIDO;COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;CADERODE;
;7;182;INSERVÍVEL;89;8,9;POLTRONA FIXA EM TECIDO;COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;CADERODE;
;8;199;INSERVÍVEL;110;11;POLTRONA FIXA EM TECIDO;COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;CADERODE;
;9;200;INSERVÍVEL;110;11;POLTRONA FIXA EM TECIDO;COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;CADERODE;
;10;202;INSERVÍVEL;110;11;POLTRONA FIXA EM TECIDO;COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;CADERODE;
;11;219;INSERVÍVEL;89;8,9;POLTRONA FIXA EM TECIDO;COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;CADERODE;
;12;220;INSERVÍVEL;89;8,9;POLTRONA FIXA EM TECIDO;COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;CADERODE;
;13;221;INSERVÍVEL;89;8,9;POLTRONA FIXA EM TECIDO;COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;CADERODE;
;14;222;INSERVÍVEL;89;8,9;POLTRONA FIXA EM TECIDO;COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;CADERODE;
;15;225;INSERVÍVEL;110;11;POLTRONA FIXA EM TECIDO;COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;CADERODE;
;16;465;INSERVÍVEL;83;8,3;FURADEIRA ELETRICA PORTATIL;BOSCH - MODELO: SUPER HOBBY - SERIE: 87101788;;
;17;616;INSERVÍVEL;215;21,5;MESA PARA MICROCOMPUTADOR;COM ACABAMENTO EM LAMINADO MELAMINICO;;
;18;772;INSERVÍVEL;200;20;ESTANTE EM MADEIRA;CLARA COM 03 PRATELEIRAS E 02 PORTAS;;
;19;852;INSERVÍVEL;430;43;BALANCA DE PLATAFORMA;BALMAK - MODELO: 104 - SERIE: 4326;;
;20;1030;INSERVÍVEL;341;34,1;TELEVISOR EM CORES;14 POLEGADAS;SANYO - MODELO: CTP-3791 P - SERIE: 9806263883T031;
;21;1053;INSERVÍVEL;100;10;MESA DE CENTRO;CLARA COM 03 PRATELEIRAS;;
;22;1074;INSERVÍVEL;341;34,1;TELEVISOR EM CORES;14 POLEGADAS;SANYO - MODELO: CTP-3791P - SERIE: 9806266839T031;
;23;1230;INSERVÍVEL;93;9,3;GAVETEIRO VOLANTE EM MADEIRA;COM ACABAMENTO EM LAMINADO MELAMINICO COM 05 GAVETAS;;
;24;1411;INSERVÍVEL;141;14,1;MESA PARA ESCRITORIO EM MADEIRA;CLARA COM 03 GAVETAS;;
;25;1895;INSERVÍVEL;234;23,4;TELA PARA PROJECAO;REFLECTA;;
;26;2063;INSERVÍVEL;247;24,7;BEBEDOURO DE AGUA TIPO GARRAFAO;COR BEGE COM 02 TORNEIRAS;ESMALTEC - MODELO: GELAGUA - SERIE: 445654;
;27;2082;INSERVÍVEL;83,2;8,32;MESA PARA MAQUINA DE ESCREVER EM MADEIRA;CLARA COM 02 GAVETAS;;
;28;2110;INSERVÍVEL;380;38;FICHARIO EM ACO;COR CINZA COM 08 GAVETAS;WB;
;29;2111;INSERVÍVEL;380;38;FICHARIO EM ACO;COR CINZA COM 08 GAVETAS;WB;
;30;2112;INSERVÍVEL;380;38;FICHARIO EM ACO;COR CINZA COM 08 GAVETAS;WB;
;31;2150;INSERVÍVEL;380;38;FICHARIO EM ACO;COR CINZA COM 08 GAVETAS;WB;
;32;2158;INSERVÍVEL;190;19;FOGAO TIPO RESIDENCIAL;COR BRANCA COM 04 QUEIMADORES;ESMALTEC - MODELO: VERONA;
;33;2291;INSERVÍVEL;220;22;BOMBA PARA ABASTECIMENTO - GERADOR;MAC - MODELO: 80;;
;34;2292;INSERVÍVEL;180;18;EXTINTOR DE INCENDIO PQS;CAPACIDADE 04 QUILOS;;
;35;2464;INSERVÍVEL;259,68;25,97;BEBEDOURO DE AGUA TIPO GARRAFAO;COM 02 TORNEIRAS;IBBL - MODELO: 105GFNI - SERIE: 816A044387;
;36;2590;INSERVÍVEL;130;13;ARQUIVO EM ACO;COR CINZA COM 04 GAVETAS;PANDIN;
;37;2618;INSERVÍVEL;83,72;8,37;CADEIRA GIRATORIA EM TECIDO;COR PRETA COM ESTRUTURA EM METAL;;
;38;2652;INSERVÍVEL;399;39,9;REFRIGERADOR TIPO FRIGOBAR;CONSUL - SERIE: JF0998434;;
;39;2902;INSERVÍVEL;106;10,6;BANCO DE ESPERA EM PALHINA;C/ 03 LUGARES;CADERODE;
;40;2904;INSERVÍVEL;106;10,6;BANCO DE ESPERA EM PALHINA;C/ 03 LUGARES;CADERODE;
;41;2907;INSERVÍVEL;106;10,6;BANCO DE ESPERA EM PALHINA;C/ 03 LUGARES;CADERODE;
;42;3128;INSERVÍVEL;160;16;MESA PARA ESCRITORIO EM MADEIRA;DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED 1,30 X 0,70 X 0,74 M;;
;43;3133;INSERVÍVEL;160;16;MESA PARA ESCRITORIO EM MADEIRA;DE LEI, TIPO SECRETARIA C/ 3 GAVETAS MED 1,30X0,70X0,74M;;
;44;3135;INSERVÍVEL;160;16;MESA PARA ESCRITORIO EM MADEIRA;DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED 1,30 X 0,70 X 0,74 M;;
;45;3136;INSERVÍVEL;160;16;MESA PARA ESCRITORIO EM MADEIRA;DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED 1,30 X 0,70 X 0,74 M;;
;46;3256;INSERVÍVEL;3499;349,9;PAINEL ELETRONICO;COM IMPRESSORA PARA SENHA(SÉRIE: 2499010708419) - SERIE: SMJ010807CODIL-01;;
;47;3328;INSERVÍVEL;100;10;MESA PARA ESCRITORIO EM MADEIRA;C/ 02 GAVETAS;;
;48;3350;INSERVÍVEL;190;19;MESA PARA ESCRITORIO EM MADEIRA;TIPO ESCRIVANINHA;;
;49;3388;INSERVÍVEL;180;18;EXTINTOR DE INCENDIO CO2;de 6 k - SERIE: 160P T;;
;50;3390;INSERVÍVEL;180;18;EXTINTOR DE INCENDIO CO2;DE 06 K - SERIE: N767 T;;
;51;3403;INSERVÍVEL;3543;354,3;GRUPO GERADOR PORTATIL;A GASOLINA;COLEMAN - MODELO: 65-5000 - SERIE: 85961501;
;52;3449;INSERVÍVEL;1850;185;MINI-CENTRAL DE AR CONDICIONADO;SPLIT DE 12000 BTU´S;SPRINGER - SERIE: 4200B49006;
;53;3513;INSERVÍVEL;280;28;ARMARIO PARA COZINHA EM MADEIRA;DE LEI, TRABALHADO, C/PRATELEIRAS INTERNAS, MED 0,50X2,08X0,40M;;
;54;3518;INSERVÍVEL;1741,5;174,15;CONDICIONADOR DE AR DE PAREDE;DE 30000BTUS;SPRINGER - SERIE: 2102B12845;
;55;3528;INSERVÍVEL;1925;192,5;CONDICIONADOR DE AR DE PAREDE;30000 BTUS 220V;SPRINGER - SERIE: 1702B25315;
;56;3548;INSERVÍVEL;400;40;ESTANTE EM MADEIRA;DE LEI;;
;57;3735;INSERVÍVEL;190;19;MESA PARA ESCRITORIO EM MADEIRA;MEDINDO 1,25MX0,70MX0,74M COM 3 GAVETAS;;
;58;3829;INSERVÍVEL;1170;117;HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS;CONECTOR 145 110X220;3COM - SERIE: 0100/LT1G028828;
;59;3870;INSERVÍVEL;1185;118,5;TELEVISOR EM CORES;29 POLEGADAS/ CONTROLES;CCE - SERIE: 00110352;
;60;3871;INSERVÍVEL;1185;118,5;TELEVISOR EM CORES;29 POLEGADAS/ CONTROLES;CCE - SERIE: 00116112;
;61;3876;INSERVÍVEL;1185;118,5;TELEVISOR EM CORES;29 POLEGADAS/ CONTROLES;CCE - SERIE: 00199092;
;62;3901;INSERVÍVEL;526;52,6;APARELHO DE VIDEO CASSETE;DE 4 CABEÇAS C/ CONTROLE;LG - MODELO: EC-971B - SERIE: 00892;
;63;3904;INSERVÍVEL;526;52,6;APARELHO DE VIDEO CASSETE;DE 4 CABEÇAS C/ CONTROLE;LG - MODELO: EC-971B - SERIE: 000864;
;64;3909;INSERVÍVEL;526;52,6;APARELHO DE VIDEO CASSETE;DE 4 CABEÇAS C/ CONTROLE;LG - MODELO: EC-971B - SERIE: 00847;
;65;3911;INSERVÍVEL;1170;117;HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS;CONECTOR RJ45;SONY - SERIE: 0100/LT1G028146;
;66;3913;INSERVÍVEL;248;24,8;ARMARIO ALTO EM ACO;COM 2 PORTAS COM PRATELEIRAS INTERNAS REFORÇADAS, MED APROX 200X0,40X1,00, COR CINZA;WCM;
;67;3977;INSERVÍVEL;1650;165;CONDICIONADOR DE AR DE PAREDE;DE 30000 BETUS 220 WATS;SPRINGER - SERIE: 430B301124;
;68;4013;INSERVÍVEL;263;26,3;SCANNER DE MESA;EASYSCAN 450P,19200DPI;NETRIX - MODELO: 38BR - SERIE: 205PX05495;
;69;4038;INSERVÍVEL;8074,47;807,45;CPU DO SERVIDOR E SERVER 342 PIII;IBM - SERIE: 78LVL75;;
;70;4039;INSERVÍVEL;4935,7;493,57;SWITCH SERVER;KVM;IBM - SERIE: 2309959;
