,Item,Patrimônio,,Nº Antigo,,,,,Descrição,,,Garantia,Marca,,,Modelo,,Série,
,"1,",00000010,,0002950,,,,,MESA PARA MAQUINA DE ESCREVER EM MADEIRA - DESCRICAO: CLARA COM 02 GAVETAS,,,,,,,,,,
,"2,",00000028,,0001443,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: CLARA COM 03 GAVETAS,,,,BORTOLINI,,,,,,
,"3,",00000093,,0001344,,,,,ARQUIVO EM ACO - DESCRICAO: COR CINZA COM 04 GAVETAS,,,,PANDIN,,,,,,
,"4,",00000128,,0002941,,,,,ARQUIVO EM ACO - DESCRICAO: COR CINZA COM 04 GAVETAS,,,,PANDIN,,,,,,
,"5,",00000179,,0003564,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA,,,,CADERODE,,,,,,
,"6,",00000181,,0003562,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA,,,,CADERODE,,,,,,
,"7,",00000182,,0003561,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA,,,,CADERODE,,,,,,
,"8,",00000199,,0002473,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA,,,,CADERODE,,,,,,
,"9,",00000200,,0002472,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA,,,,CADERODE,,,,,,
,"10,",00000202,,0002469,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA,,,,CADERODE,,,,,,
,"11,",00000219,,0003588,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA,,,,CADERODE,,,,,,
,"12,",00000220,,0003587,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA,,,,CADERODE,,,,,,
,"13,",00000221,,0003586,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA,,,,CADERODE,,,,,,
,"14,",00000222,,0003585,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA,,,,CADERODE,,,,,,
,"15,",00000225,,0002480,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA,,,,CADERODE,,,,,,
,"16,",00000465,,0003361,,,,,FURADEIRA ELETRICA PORTATIL,,,,BOSCH,,,SUPER HOBBY,,87101788,
,"17,",00000616,,0001600,,,,,MESA PARA MICROCOMPUTADOR - DESCRICAO: COM ACABAMENTO EM LAMINADO MELAMINICO,,,,,,,,,,
,"18,",00000772,,0002946,,,,,ESTANTE EM MADEIRA - DESCRICAO: CLARA COM 03 PRATELEIRAS E 02 PORTAS,,,,,,,,,,
,"19,",00000852,,0003541,,,,,BALANCA DE PLATAFORMA,,,,BALMAK,,,104,,4326,
,"20,",00001030,,0002953,,,,,TELEVISOR EM CORES - DESCRICAO: 14 POLEGADAS,,,,SANYO,,,CTP-3791 P,,9806263883T031,
,"21,",00001053,,0002550,,,,,MESA DE CENTRO - DESCRICAO: CLARA COM 03 PRATELEIRAS,,,,,,,,,,
,"22,",00001074,,0002954,,,,,TELEVISOR EM CORES - DESCRICAO: 14 POLEGADAS,,,,SANYO,,,CTP-3791P,,9806266839T031,
,"23,",00001230,,0003016,,,,,GAVETEIRO VOLANTE EM MADEIRA - DESCRICAO: COM ACABAMENTO EM LAMINADO MELAMINICO COM 05 GAVETAS,,,,,,,,,,
,"24,",00001411,,0001811,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: CLARA COM 03 GAVETAS,,,,,,,,,,
,"25,",00001895,,0001836,,,,,TELA PARA PROJECAO,,,,REFLECTA,,,,,,
,"26,",00002063,,0003537,,,,,BEBEDOURO DE AGUA TIPO GARRAFAO - DESCRICAO: COR BEGE COM 02 TORNEIRAS,,,,ESMALTEC,,,GELAGUA,,445654,
,"27,",00002082,,0001433,,,,,MESA PARA MAQUINA DE ESCREVER EM MADEIRA - DESCRICAO: CLARA COM 02 GAVETAS,,,,,,,,,,
