,Item,Patrimônio,,,,Garantia,,,,Modelo,Descrição
,1,10,,,,,,,,,MESA PARA MAQUINA DE ESCREVER EM MADEIRA - DESCRICAO: CLARA COM 02 GAVETAS
,2,28,,,,,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: CLARA COM 03 GAVETAS
,3,93,,,,,,,,,ARQUIVO EM ACO - DESCRICAO: COR CINZA COM 04 GAVETAS
,4,128,,,,,,,,,ARQUIVO EM ACO - DESCRICAO: COR CINZA COM 04 GAVETAS
,5,179,,,,,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
,6,181,,,,,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
,7,182,,,,,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
,8,199,,,,,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
,9,200,,,,,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
,10,202,,,,,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
,11,219,,,,,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
,12,220,,,,,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
,13,221,,,,,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
,14,222,,,,,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
,15,225,,,,,,,,,POLTRONA FIXA EM TECIDO - DESCRICAO: COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
,16,465,,,,,,,,SUPER HOBBY,FURADEIRA ELETRICA PORTATIL
,17,616,,,,,,,,,MESA PARA MICROCOMPUTADOR - DESCRICAO: COM ACABAMENTO EM LAMINADO MELAMINICO
,18,772,,,,,,,,,ESTANTE EM MADEIRA - DESCRICAO: CLARA COM 03 PRATELEIRAS E 02 PORTAS
,19,852,,,,,,,,104,BALANCA DE PLATAFORMA
,20,1030,,,,,,,,CTP-3791 P,TELEVISOR EM CORES - DESCRICAO: 14 POLEGADAS
,21,1053,,,,,,,,,MESA DE CENTRO - DESCRICAO: CLARA COM 03 PRATELEIRAS
,22,1074,,,,,,,,CTP-3791P,TELEVISOR EM CORES - DESCRICAO: 14 POLEGADAS
,23,1230,,,,,,,,,GAVETEIRO VOLANTE EM MADEIRA - DESCRICAO: COM ACABAMENTO EM LAMINADO MELAMINICO COM 05 GAVETAS
,24,1411,,,,,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: CLARA COM 03 GAVETAS
,25,1895,,,,,,,,,TELA PARA PROJECAO
,26,2063,,,,,,,,GELAGUA,BEBEDOURO DE AGUA TIPO GARRAFAO - DESCRICAO: COR BEGE COM 02 TORNEIRAS
,27,2082,,,,,,,,,MESA PARA MAQUINA DE ESCREVER EM MADEIRA - DESCRICAO: CLARA COM 02 GAVETAS
,28,2110,,,,,,,,,FICHARIO EM ACO - DESCRICAO: COR CINZA COM 08 GAVETAS
,29,2111,,,,,,,,,FICHARIO EM ACO - DESCRICAO: COR CINZA COM 08 GAVETAS
,30,2112,,,,,,,,,FICHARIO EM ACO - DESCRICAO: COR CINZA COM 08 GAVETAS
,31,2150,,,,,,,,,FICHARIO EM ACO - DESCRICAO: COR CINZA COM 08 GAVETAS
,32,2158,,,,,,,,VERONA,FOGAO TIPO RESIDENCIAL - DESCRICAO: COR BRANCA COM 04 QUEIMADORES
,33,2291,,,,,,,,80,BOMBA PARA ABASTECIMENTO - GERADOR
,34,2292,,,,,,,,,EXTINTOR DE INCENDIO PQS - DESCRICAO: CAPACIDADE 04 QUILOS
,35,2464,,,,,,,,105GFNI,BEBEDOURO DE AGUA TIPO GARRAFAO - DESCRICAO: COM 02 TORNEIRAS
,36,2590,,,,,,,,,ARQUIVO EM ACO - DESCRICAO: COR CINZA COM 04 GAVETAS
,37,2618,,,,,,,,,CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COR PRETA COM ESTRUTURA EM METAL
,38,2652,,,,16/08/2000 a 14/08/2001,,,,,REFRIGERADOR TIPO FRIGOBAR
,39,2902,,,,,,,,,BANCO DE ESPERA EM PALHINA - DESCRICAO: C/ 03 LUGARES
,40,2904,,,,,,,,,BANCO DE ESPERA EM PALHINA - DESCRICAO: C/ 03 LUGARES
,41,2907,,,,,,,,,BANCO DE ESPERA EM PALHINA - DESCRICAO: C/ 03 LUGARES
,42,3128,,,,22/06/2001 a 20/06/2002,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED. 1,30 X 0,70 X 0,74 M"
,43,3133,,,,22/06/2001 a 20/06/2002,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETARIA C/ 3 GAVETAS MED. 1,30X0,70X0,74M"
,44,3135,,,,22/06/2001 a 20/06/2002,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED. 1,30 X 0,70 X 0,74 M"
,45,3136,,,,22/06/2001 a 20/06/2002,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: DE LEI, TIPO SECRETÁRIA, C/ 03 GAVETAS, MED. 1,30 X 0,70 X 0,74 M"
,46,3256,,,,29/08/2001 a 12/08/2002,,,,,PAINEL ELETRONICO - DESCRICAO: COM IMPRESSORA PARA SENHA(SÉRIE: 2499010708419).
,47,3328,,,,,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: C/ 02 GAVETAS
,48,3350,,,,18/10/2001 a 10/10/2002,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: TIPO ESCRIVANINHA
,49,3388,,,,15/03/2002 a 14/03/2003,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: de 6 k.
,50,3390,,,,15/03/2002 a 14/03/2003,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: DE 06 K.
,51,3403,,,,14/11/2001 a 14/11/2001,,,,65-5000,GRUPO GERADOR PORTATIL - DESCRICAO: A GASOLINA
,52,3449,,,,27/12/2001 a 03/11/2001,,,,,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT DE 12.000 BTU´S
,53,3513,,,,25/04/2002 a 25/04/2003,,,,,"ARMARIO PARA COZINHA EM MADEIRA - DESCRICAO: DE LEI, TRABALHADO, C/PRATELEIRAS INTERNAS, MED. 0,50X2,08X0,40M."
,54,3518,,,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 30.000BTUS
,55,3528,,,,13/05/2002 a 13/05/2003,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 30.000 BTUS 220V
,56,3548,,,,19/06/2002 a 19/06/2003,,,,,ESTANTE EM MADEIRA - DESCRICAO: DE LEI
,57,3735,,,,06/09/2002 a 06/09/2002,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: MEDINDO 1,25MX0,70MX0,74M COM 3 GAVETAS"
,58,3829,,,,14/10/2002 a 07/10/2005,,,,,HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS - DESCRICAO: CONECTOR 145 110X220
,59,3870,,,,23/10/2002 a 23/10/2002,,,,,TELEVISOR EM CORES - DESCRICAO: 29 POLEGADAS/ CONTROLES.
,60,3871,,,,23/10/2002 a 23/10/2002,,,,,TELEVISOR EM CORES - DESCRICAO: 29 POLEGADAS/ CONTROLES.
,61,3876,,,,23/10/2002 a 23/10/2002,,,,,TELEVISOR EM CORES - DESCRICAO: 29 POLEGADAS/ CONTROLES.
,62,3901,,,,30/10/2002 a 30/10/2003,,,,EC-971B,APARELHO DE VIDEO CASSETE - DESCRICAO: DE 4 CABEÇAS C/ CONTROLE
,63,3904,,,,30/10/2002 a 30/10/2003,,,,EC-971B,APARELHO DE VIDEO CASSETE - DESCRICAO: DE 4 CABEÇAS C/ CONTROLE
,64,3909,,,,30/10/2002 a 30/10/2003,,,,EC-971B,APARELHO DE VIDEO CASSETE - DESCRICAO: DE 4 CABEÇAS C/ CONTROLE
,65,3911,,,,30/10/2002 a 30/10/2003,,,,,HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS - DESCRICAO: CONECTOR RJ45
,66,3913,,,,07/11/2002 a 30/10/2003,,,,,"ARMARIO ALTO EM ACO - DESCRICAO: COM 2 PORTAS COM PRATELEIRAS INTERNAS REFORÇADAS, MED. APROX. 2.00X0,40X1,00, COR CINZA"
,67,3977,,,,11/11/2002 a 11/11/2003,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 30.000 BETUS 220 WATS
,68,4013,,,,12/12/2002 a 08/12/2003,,,,38BR,"SCANNER DE MESA - DESCRICAO: EASYSCAN 450P,19200DPI"
,69,4038,,,,16/01/2003 a 07/02/2005,,,,,CPU DO SERVIDOR E SERVER 342 PIII
,70,4039,,,,16/01/2003 a 07/02/2005,,,,,SWITCH SERVER - DESCRICAO: KVM
,71,4043,,,,22/01/2003 a 13/01/2004,,,,500,"IMPRESSORA JATO DE TINTA - DESCRICAO: TIPO PLOTTER. PRÓPRIA PARA PARA DESENHOS DE ARQUITETURA, ENGENHARIA E MECÂNICA. MEMÓRIA PADRÃO 16MB. RESOLUÇÃO MÁXIMA 1200 X 600 DPI. DIMENSÕES (LARGURA X ALTURA X PROFUNDIDADE): 1690 X 1100 X 674 MM."
