Item;Patrimônio;Garantia;Garantia_fim;Marca;Modelo;Série;Modelo;Descrição;
1;10;;;;;;MESA PARA MAQUINA DE ESCREVER EM MADEIRA ; CLARA COM 02 GAVETAS;
2;28;;;BORTOLINI;;;MESA PARA ESCRITORIO EM MADEIRA ; CLARA COM 03 GAVETAS;
3;93;;;PANDIN;;;ARQUIVO EM ACO ; COR CINZA COM 04 GAVETAS;
4;128;;;PANDIN;;;ARQUIVO EM ACO ; COR CINZA COM 04 GAVETAS;
5;179;;;CADERODE;;;POLTRONA FIXA EM TECIDO ; COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;
6;181;;;CADERODE;;;POLTRONA FIXA EM TECIDO ; COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;
7;182;;;CADERODE;;;POLTRONA FIXA EM TECIDO ; COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;
8;199;;;CADERODE;;;POLTRONA FIXA EM TECIDO ; COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;
9;200;;;CADERODE;;;POLTRONA FIXA EM TECIDO ; COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;
10;202;;;CADERODE;;;POLTRONA FIXA EM TECIDO ; COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;
11;219;;;CADERODE;;;POLTRONA FIXA EM TECIDO ; COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;
12;220;;;CADERODE;;;POLTRONA FIXA EM TECIDO ; COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;
13;221;;;CADERODE;;;POLTRONA FIXA EM TECIDO ; COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;
14;222;;;CADERODE;;;POLTRONA FIXA EM TECIDO ; COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;
15;225;;;CADERODE;;;POLTRONA FIXA EM TECIDO ; COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA;
16;465;;;BOSCH;SUPER HOBBY;87101788;FURADEIRA ELETRICA PORTATIL;;
17;616;;;;;;MESA PARA MICROCOMPUTADOR ; COM ACABAMENTO EM LAMINADO MELAMINICO;
18;772;;;;;;ESTANTE EM MADEIRA ; CLARA COM 03 PRATELEIRAS E 02 PORTAS;
19;852;;;BALMAK;104;4326;BALANCA DE PLATAFORMA;;
20;1030;;;SANYO;CTP-3791 P;9806263883T031;TELEVISOR EM CORES ; 14 POLEGADAS;
21;1053;;;;;;MESA DE CENTRO ; CLARA COM 03 PRATELEIRAS;
22;1074;;;SANYO;CTP-3791P;9806266839T031;TELEVISOR EM CORES ; 14 POLEGADAS;
23;1230;;;;;;GAVETEIRO VOLANTE EM MADEIRA ; COM ACABAMENTO EM LAMINADO MELAMINICO COM 05 GAVETAS;
24;1411;;;;;;MESA PARA ESCRITORIO EM MADEIRA ; CLARA COM 03 GAVETAS;
25;1895;;;REFLECTA;;;TELA PARA PROJECAO;;
26;2063;;;ESMALTEC;GELAGUA;445654;BEBEDOURO DE AGUA TIPO GARRAFAO ; COR BEGE COM 02 TORNEIRAS;
27;2082;;;;;;MESA PARA MAQUINA DE ESCREVER EM MADEIRA ; CLARA COM 02 GAVETAS;
28;2110;;;WB;;;FICHARIO EM ACO ; COR CINZA COM 08 GAVETAS;
29;2111;;;WB;;;FICHARIO EM ACO ; COR CINZA COM 08 GAVETAS;
30;2112;;;WB;;;FICHARIO EM ACO ; COR CINZA COM 08 GAVETAS;
31;2150;;;WB;;;FICHARIO EM ACO ; COR CINZA COM 08 GAVETAS;
