Item,Patrimonio,Sit Física,Valor de Aquisição,Valor Bruto Atual,Garantia_inicio,Garantia_fim,Modelo,Descricao,Caraacteristicas
1,10,INSERVIVEL,110,11,,,,MESA PARA MAQUINA DE ESCREVER EM MADEIRA,CLARA COM 02 GAVETAS
2,28,INSERVIVEL,"134,4","13,44",,,,MESA PARA ESCRITORIO EM MADEIRA,CLARA COM 03 GAVETAS
3,93,INSERVIVEL,145,"14,5",,,,ARQUIVO EM ACO,COR CINZA COM 04 GAVETAS
4,128,INSERVIVEL,"156,09","15,61",,,,ARQUIVO EM ACO,COR CINZA COM 04 GAVETAS
5,179,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
6,181,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
7,182,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
8,199,INSERVIVEL,110,11,,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
9,200,INSERVIVEL,110,11,,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
10,202,INSERVIVEL,110,11,,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
11,219,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
12,220,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
13,221,INSERVIVEL,89,"8,9",,,,POLTRONA FIXA EM TECIDO,COR VERMELHA COM ESTRUTURA EM METAL SOBRE LONGARINA
