Data,Empenho,Valor Inicial,Evento,Período Inicial,Período Final,Valor Mensal,Ajuste,Empenho_Referência,Contrato
25/01/2017,2017NE000068 ,"R$ 56.283,63",123076,30/03/2017,31/12/2017,"R$ 6.230,66",Inicial,2018NS004950,09/ 2016
25/05/2017,2017NE000325 ,"R$ 3.869,65",143210,12/01/2017,31/12/2017,"R$ 6.563,38",reforco,2019NS003056,09/ 2016
25032018,2018NE000307,"R$ 43.614,62",60768,01/06/2016,31/12/2016,"R$ 6.230,66",reforco,2019NS005337 ,09/ 2016
23/04/2018,2018NE000439 ,"R$ 59.289,20",204310,30/03/2018,31/12/2018,"R$ 6.230,66",Inicial,2020NS001166 ,09/ 2016
24/04/2018,2018NE000443 ,"R$ 218,78",204741,29/03/2018,31/12/2018,"R$ 6.563,38",reforco,2021NS000660,09/ 2016
28/06/2018,2018NE000619 ,"R$ 2.433,33",217209,01/01/2017,01/12/2017,"R$ 6.563,38",reforco,2021NS000383,09/ 2016
20/02/2019,2019NE000145 ,"R$ 20.094,45",262507,01/01/2019,29/03/2019,"R$ 6.773,41",Inicial,2021NS000655,09/ 2016
20/02/2019,2019NE000146 ,"R$ 61.186,42",262510,30/03/2019,31/12/2019,"R$ 6.773,41",reforco,2021NS001043,09/ 2016
07/05/2019,2019NE000363 ,"R$ 1.510,53",276594,31/01/4835,31/12/2019,"R$ 6.773,41",restos,2021NS000383,09/ 2016
15/08/2019,2019NE000600 ,"R$ 4.373,20",296963,01/01/2019,31/03/2020,"R$ 7.149,33",reforco,2021NS000655,09/ 2016
06/02/2020,2020NE000109,"R$ 21.209,68",332365,01/01/2020,29/03/2020,"R$ 7.149,33",Inicial,2021NS001043,09/ 2016
06/02/2020,2020NE000110,"R$ 64.582,28",332367,30/03/2020,31/12/2020,"R$ 7.149,33",reforco,2021NS000344,09/ 2016
21/07/2020,2020NE000361,"R$ 1.840,52",363864,01/01/2020,30/06/2020,"R$ 326,72",reforco,2021NS002037,09/ 2016
21/07/2020,2020NE000362,"R$ 1.960,32",363866,01/07/2020,31/12/2020,"R$ 326,72",reforco,2021NS002057,09/ 2016
29/12/2020,2020NE000883,"R$ 6.986,47",400770,18/05/2020,30/12/2020,"R$ 6.563,38",Cancela ,2020NE000109,09/ 2016
29/12/2020,2020NE000884,"R$ 3.566,40",400772,18/05/2020,30/12/2020,"R$ 6.773,41",Cancela ,2020NE000110,09/ 2016
20/01/2021,2021NE000042,"R$ 5.000,00",403345,01/01/2021,13/03/2021,"R$ 6.773,41",Inicial,2018NS004950,09/ 2016
02/03/2021,2021NE000042,"R$ 7.000,00",409290,29/07/2021,29/03/2021,"R$ 6.773,41",reforco,2019NS003056,09/ 2016
30/03/2021,2021NE000116,"R$ 20.000,00",413157,30/03/2021,29/03/2022,"R$ 7.149,33",reforco,2019NS005337 ,09/ 2016
06/04/2021,2021NE000042,"R$ 7.188,53",413863,14/12/2021,30/12/2021,"R$ 7.149,33",reforco,2020NS001166 ,09/ 2016
06/05/2021,2021NE000116,"R$ 47.533,65",418876,30/04/2021,31/12/2021,"R$ 7.149,33",reforco,2019NE000292 ,09/ 2016
06/05/2021,2021NE000042,"R$ 2.741,22",418875,18/03/2021,29/03/2021,"R$ 326,72",reforco,2020NS000413 ,09/ 2016
25032018,2019NE000682,"R$ 20.094,45",431788,21/04/18,21/04/2019,"R$ 63.584,03",Inicial,2018NS000897, 10/2018
23/04/2018,2018NE000471 ,"R$ 529.866,92",207209,21/04/20,31/12/2018,"R$ 63.584,03",reforco,2019NS001458, 10/2018
20/02/2019,2019NE000688 ,"R$ 6.986,47",310087,01/01/2019,29/03/2019,"R$ 6.773,41",reforco,2020NS000642 , 10/2018
07/05/2019,2019NE000313 ,"R$ 763.008,36",273647,22/04/19,31/12/2019,"R$ 67.316,41",Inicial,2021NS000871, 10/2018
23Abr19 ,2019NE000315,"R$ 527.747,45",273750,22/04/19,31/12/2019,"R$ 67.316,41",reforco,2021NS000866, 10/2018
21/07/2020,2019NE000323,"R$ 47.533,65",337304,22/04/20,21/04/2021,"R$ 67.316,41",reforco,2020NS000642 , 10/2018
29/12/2020,2020NE000098 ,"R$ 249.070,73",331240,01/01/20,21/04/2020,"R$ 63.584,03",Inicial,2017NS001649, 10/2018
17/03/20,2020NE000177 ,"R$ 558.726,22",340694,22/04/20,31/12/2020,"R$ 63.584,03",reforco,2019NS003598, 10/2018
10/02/21,2021NE000038,"R$ 40.000,00",403258,01/01/21,22/04/2021,"R$ 63.584,03",restos,2021NS000344, 10/2018
10/02/21,2021NE000038,"R$ 28.000,00",406676,01/01/21,21/04/2021,"R$ 67.316,41",reforco,2021NS002035, 10/2018
11/03/21,2021NE000038,"R$ 80.000,00",410643,01/01/21,21/04/2021,"R$ 67.316,41",Inicial,2021NS002037, 10/2018
16/04/21,2021NE000124,"R$ 90.000,00",415719,22/04/21,30/04/2021,"R$ 67.316,41",reforco,2021NS002057, 10/2018
13/05/21,2021NE000124,"R$ 468.726,22",420288,01/04/21,31/12/2021,"R$ 63.584,03",reforco,2021NS002056, 10/2018
