Data,Empenho,Valor Fatura,Evento,Período Inicial,Período Final,Valor Bruto,Vencimento,Fatura,Agrupador,Dt. Liquidação ,evento,Linha,Código Barras
06/08/2021,2021NE000116,"R$ 3.353,27",435229,18/06/21,17/07/21,"R$ 3.738,02",20/08/21,210.802.145.033,119.312.920-3,03/03/21,432841,62 074 4434,84600000033 7 53270020119 9 31292020210 7 80123800126 8
06/08/2021,2021NE000116,"R$ 3.353,27",435230,18/06/21,17/07/21,"R$ 3.738,02",20/08/21,210.801.138.828,411.464.386-8,03/03/21,428899,68 041 8248,84680000033 9 53270020411 0 46438620210 3 80128900202 5
22/07/2021,2021NE000116,"R$ 3.384,78",432549,18/05/21,17/06/21,"R$ 3.738,02",04/08/21,2.107.002.104.458,119.312.920-3,26/07/21,432841,62 074 4434,84690000036 1 86700020119 6 31292020210 7 70113600126 3
22/07/2021,2021NE000116,"R$ 3.384,78",432546,18/05/21,17/06/21,"R$ 3.738,02",04/08/21,2.107.001.121.054,411.464.386-8,26/07/21,432841,68 041 8248,84670000036 3 86700020411 7 46438620210 3 70118700202 0
30/06/2021,2021NE000116,"R$ 3.686,70",427925,18/04/21,17/05/21,"R$ 4.071,45",14/07/21,2.106.002.063.117,119.312.920-3,06/07/21,428899,63 074 4434,84670000033 0 84780020119 0 31292020210 7 63223100126 4
30/06/2021,2021NE000116,"R$ 3.686,70",427924,18/04/21,17/05/21,"R$ 4.071,45",14/07/21,2.106.001.102.629,411.464.386-8,06/07/21,428899,68 041 8248,84650000033 2 84780020411 1 46438620210 3 63228200202 1
07/05/2021,2021NE000116,"R$ 3.384,78",418100,18/03/21,17/04/21,"R$ 3.738,02",20/05/21,2.105.002.021.339,119.312.920-3,12/05/21,419813,62 074 4434,84690000033 8 84780020119 0 31292020210 7 50113700126 6
07/05/2021,2021NE000116,"R$ 3.384,79",418099,18/03/21,17/04/21,"R$ 3.738,03",20/05/21,2.105.001.083.659,411.464.386-8,17/05/21,421607,680418248,84660000033 1 84790020411 0 46438620210 3 50118800202 3
28/03/2021,2021NE000042,"R$ 3.384,78",412940,18/02/21,17/03/21,"R$ 3.738,02",20/04/21,2.104.001.973.393,119.312.920-3,19/04/21,415828,62 074 4434,84670000033 0 84780020119 0 31292020210 7 40113200126 4
28/03/2021,2021NE000042,"R$ 3.384,79",412938,18/02/21,17/03/21,"R$ 3.738,03",20/04/21,2.104.001.058.687,411.464.386-8,19/04/21,421607,680418248,84640000033 3 84790020411 0 46438620210 3 40118300202 1
02/03/2021,2021NE000042,"R$ 3.384,79",409125,18/01/21,17/02/21,"R$ 3.738,03",20/03/21,2.103.001.038.306,411.464.386-8,03/03/21,409618,68 041 8248,84690000033 8 84790011411 1 46438620210 3 30118900000 5
02/03/2021,2021NE000042,"R$ 3.384,78",409127,18/01/21,17/02/21,"R$ 3.738,02",20/03/21,2.103.001.929.717,119.312.920-3,03/03/21,409618,62 074 4434,84660000033 1 84780016119 6 31292020210 7 30113800000 7
02/03/2021,2020NE000361,"R$ 3.384,79",408061,18/12/20,17/01/21,"R$ 3.738,03",03/03/21,2.102.001.017.102,411.464.386-8,03/03/21,409618,68 041 8248,84660000033 1 84790011411 1 46438620210 3 20118400000 2
02/03/2021,2020NE000361,"R$ 3.384,78",408059,18/12/20,17/01/21,"R$ 3.738,02",03/03/21,2.102.001.885.128,119.312.920-3,03/03/21,409618,62 074 4434,84630000033 4 84780016119 6 31292020210 7 20113300000 4
02/03/2021,2020NE000361,"R$ 3.384,79",402954,18/11/20,17/12/20,"R$ 3.738,03",20/01/21,2.101.000.995.032,411.464.386-8,03/03/21,409618,68 041 8248,84620000033 5 84790011411 1 46438620210 3 10118000000 8
02/03/2021,2020NE000361,"R$ 3.384,78",402952,18/11/20,17/12/20,"R$ 3.738,02",20/01/21,2.101.001.839.429,119.312.920-3,03/03/21,409618,62 074 4434,84690000033 8 84780016119 6 31292020210 7 10113900000 0
