DATA;ANO_EMPENHO;TIPO_NOTA;NR_NOTA;VALOR_INICIAL;EVENTO_SEI;PERIODO_INICIAL;PERIODO_FINAL;VALOR_MENSAL;CARACT;ANO_REF;TIPO_NOTA_REF;NR_NOTA_REF;NR_CONTRATO;ANO_CONTRATO;
25/01/2017;2017;NE;68;56.283,63;123076;30/03/2017;31/12/2017;6.230,66;Inicial;2018;NS;4950;09; 2016;
25/05/2017;2017;NE;325;3.869,65;143210;12/01/2017;31/12/2017;6.563,38;reforco;2019;NS;3056;09; 2016;
25/03/18;2018;NE;307;43.614,62;60768;01/06/2016;31/12/2016;6.230,66;reforco;2019;NS;5337;09; 2016;
23/04/2018;2018;NE;439;59.289,20;204310;30/03/2018;31/12/2018;6.230,66;Inicial;2020;NS;1166;09; 2016;
24/04/2018;2018;NE;443;218,78;204741;29/03/2018;31/12/2018;6.563,38;reforco;2021;NS;660;09; 2016;
28/06/2018;2018;NE;619;2.433,33;217209;01/01/2017;01/12/2017;6.563,38;reforco;2021;NS;383;09; 2016;
20/02/2019;2019;NE;145;20.094,45;262507;01/01/2019;29/03/2019;6.773,41;Inicial;2021;NS;655;09; 2016;
20/02/2019;2019;NE;146;61.186,42;262510;30/03/2019;31/12/2019;6.773,41;reforco;2021;NS;1043;09; 2016;
07/05/2019;2019;NE;363;1.510,53;276594;31/01/4835;31/12/2019;6.773,41;restos;2021;NS;383;09; 2016;
15/08/2019;2019;NE;600;4.373,20;296963;01/01/2019;31/03/2020;7.149,33;reforco;2021;NS;655;09; 2016;
06/02/2020;2020;NE;109;21.209,68;332365;01/01/2020;29/03/2020;7.149,33;Inicial;2021;NS;1043;09; 2016;
06/02/2020;2020;NE;110;64.582,28;332367;30/03/2020;31/12/2020;7.149,33;reforco;2021;NS;344;09; 2016;
21/07/2020;2020;NE;361;1.840,52;363864;01/01/2020;30/06/2020;326,72;reforco;2021;NS;2037;09; 2016;
21/07/2020;2020;NE;362;1.960,32;363866;01/07/2020;31/12/2020;326,72;reforco;2021;NS;2057;09; 2016;
29/12/2020;2020;NE;883;6.986,47;400770;18/05/2020;30/12/2020;6.563,38;Cancela ;2020;NE;109;09; 2016;
29/12/2020;2020;NE;884;3.566,40;400772;18/05/2020;30/12/2020;6.773,41;Cancela ;2020;NE;110;09; 2016;
20/01/2021;2021;NE;42;5.000,00;403345;01/01/2021;13/03/2021;6.773,41;Inicial;2018;NS;4950;09; 2016;
02/03/2021;2021;NE;42;7.000,00;409290;29/07/2021;29/03/2021;6.773,41;reforco;2019;NS;3056;09; 2016;
30/03/2021;2021;NE;116;20.000,00;413157;30/03/2021;29/03/2022;7.149,33;reforco;2019;NS;5337;09; 2016;
06/04/2021;2021;NE;42;7.188,53;413863;14/12/2021;30/12/2021;7.149,33;reforco;2020;NS;1166;09; 2016;
06/05/2021;2021;NE;116;47.533,65;418876;30/04/2021;31/12/2021;7.149,33;reforco;2019;NE;292;09; 2016;
06/05/2021;2021;NE;42;2.741,22;418875;18/03/2021;29/03/2021;326,72;reforco;2020;NS;413;09; 2016;
25/03/18;2019;NE;682;20.094,45;431788;21/04/18;21/04/2019;63.584,03;Inicial;2018;NS;897; 10;2018;
23/04/2018;2018;NE;471;529.866,92;207209;21/04/20;31/12/2018;63.584,03;reforco;2019;NS;1458; 10;2018;
20/02/2019;2019;NE;688;6.986,47;310087;01/01/2019;29/03/2019;6.773,41;reforco;2020;NS;642; 10;2018;
07/05/2019;2019;NE;313;763.008,36;273647;22/04/19;31/12/2019;67.316,41;Inicial;2021;NS;871; 10;2018;
23/04/19;2019;NE;315;527.747,45;273750;22/04/19;31/12/2019;67.316,41;reforco;2021;NS;866; 10;2018;
21/07/2020;2019;NE;323;47.533,65;337304;22/04/20;21/04/2021;67.316,41;reforco;2020;NS;642; 10;2018;
29/12/2020;2020;NE;98;249.070,73;331240;01/01/20;21/04/2020;63.584,03;Inicial;2017;NS;1649; 10;2018;
17/03/20;2020;NE;177;558.726,22;340694;22/04/20;31/12/2020;63.584,03;reforco;2019;NS;3598; 10;2018;
10/02/21;2021;NE;38;40.000,00;403258;01/01/21;22/04/2021;63.584,03;restos;2021;NS;344; 10;2018;
10/02/21;2021;NE;38;28.000,00;406676;01/01/21;21/04/2021;67.316,41;reforco;2021;NS;2035; 10;2018;
11/03/21;2021;NE;38;80.000,00;410643;01/01/21;21/04/2021;67.316,41;Inicial;2021;NS;2037; 10;2018;
16/04/21;2021;NE;124;90.000,00;415719;22/04/21;30/04/2021;67.316,41;reforco;2021;NS;2057; 10;2018;
13/05/21;2021;NE;124;468.726,22;420288;01/04/21;31/12/2021;63.584,03;reforco;2021;NS;2056; 10;2018;
