DATA;TIPO;NR;PROCEDIMENTO;DESCRIÇÃO: MATERIAL / SERVIÇO / PATRONAL;VALOR;DEFERIDO POR;CODIGO;Unidade;TIPO DE EMPENHO;UNIDADE;OBS;COD;TIPO;OBS
20/01/22;EMP;70;13-53.2022;Contratação de curso de Conformidade de Registro de Gestão;3180;SAO;CAPAC;33903948;AC CAPPAC;SEDES;5;COFIN;estimativo;EMP703180CAPAC/33903948-AC CAPPAC-SEDES-5
15/03/22;EMP;107;1122-39.2021;DEA - Reembolso de aquisição de TOKEN;209;SAO;20GPC;999999999;OUTROS;OUTRO;190;SEJUD;estimativo;EMP10720920GPC/999999999-OUTROS--190
10/01/22;EMP;27;1620-33.2021;Serviços terceirizados de motoristas;41114,88;DG;20GPC;33903701;ADM APOIO;SETRAN;159;SETRAN;global;"EMP2741114;8820GPC/33903701-ADM APOIO-SETRAN-159"
10/01/22;EMP;28;1620-33.2021;Diárias sem pernoite - serviços terceirizados de motoristas;3448,2;DG;20GPC;33903701;ADM APOIO;SETRAN;159;SETRAN;global;"EMP283448;220GPC/33903701-ADM APOIO-SETRAN-159"
10/01/22;EMP;29;1620-33.2021;Diárias com pernoite - serviços terceirizados de motoristas;5625;DG;20GPC;33903701;ADM APOIO;SETRAN;159;SETRAN;global;EMP29562520GPC/33903701-ADM APOIO-SETRAN-159
10/01/22;EMP;30;45-58.2022;Indenização aos oficiais de justiça do TJ/AC;15000;DG;20GPC;33909301;ADM OFIJUS;GAJUD ;106;SEJUD;estimativo;EMP301500020GPC/33909301-ADM OFIJUS-GAJUD -106
10/01/22;EMP;31;4-91.2022;Aquisição de gás de cozinha;576,5;SAO;20GPC;33903004;ADM MATAUX;SEAD;117;SEADE;estimativo;
10/01/22;EMP;31;4-91.2022;Aquisição de água mineral;5520;SAO;20GPC;33903007;ADM MATAUX;SEAD;118;SEADE;estimativo;EMP31552020GPC/33903007-ADM MATAUX-SEAD-118
10/01/22;EMP;31;4-91.2022;Aquisição de vasilhame para água mineral;69;SAO;20GPC;33903004;ADM MATAUX;SEAD;117;SEADE;estimativo;EMP316920GPC/33903004-ADM MATAUX-SEAD-117
10/01/22;EMP;32;2703-77.2021;Lavagens simples de veículos - 4ZE;1800;SAO;20GPC;999999999;OUTROS;OUTRO;190;4ZE;estimativo;EMP32180020GPC/999999999-OUTROS--190
